Date,S&P 500
02/1992,10000
03/1992,10067.640613024361
04/1992,10269.780740213888
05/1992,10122.864970710893
06/1992,9686.87752644206
07/1992,9602.987256402665
08/1992,9169.25525665484
09/1992,9491.321882692582
10/1992,9920.291927926208
11/1992,10930.112146862437
12/1992,11057.097711728504
01/1993,11367.305059451082
02/1993,11809.294458555614
03/1993,12117.829643162962
04/1993,11422.597380087655
05/1993,11757.08239924232
06/1993,12135.607846862778
07/1993,12599.43598874043
08/1993,13177.410406297258
09/1993,12556.483718152682
10/1993,12966.668179471859
11/1993,13187.99310195585
12/1993,13341.53504260749
01/1994,13982.159821309693
02/1994,13550.3438992548
03/1994,12691.652797918045
04/1994,12891.672761664764
05/1994,12821.613417789253
06/1994,12304.236876536706
07/1994,12316.604873200962
08/1994,12836.31017355328
09/1994,12388.229940679188
10/1994,12424.473496473596
11/1994,12150.00857940921
12/1994,12582.415013111779
01/1995,12644.893742612507
02/1995,12993.880712335687
03/1995,12857.48428695583
04/1995,12982.853312539622
05/1995,13710.366892566946
06/1995,13911.774039246971
07/1995,14206.113189136824
08/1995,14673.019847872905
09/1995,15488.442608809182
10/1995,15193.003751486518
11/1995,15894.22979652807
12/1995,16456.94876457078
01/1996,17223.68184932228
02/1996,17483.252118797678
03/1996,17640.287714165417
04/1996,18052.988686777913
05/1996,18743.208585179567
06/1996,18668.803072469545
07/1996,17572.862696743352
08/1996,17780.882700210288
09/1996,18944.463295734695
10/1996,19527.520175964382
11/1996,20733.968605105485
12/1996,20772.9511051641
01/1997,22671.04023865503
02/1997,23844.209246047823
03/1997,23129.892745287372
04/1997,24644.072164033743
05/1997,26064.431952580464
06/1997,27538.11692278689
07/1997,30556.423379582393
08/1997,29667.345651145628
09/1997,30471.42290547583
10/1997,28919.151153973286
11/1997,29635.186270727452
12/1997,30957.447132087964
01/1998,32019.795525622503
02/1998,34253.596854553405
03/1998,36140.37048391496
04/1998,36256.759877504766
05/1998,35090.85666363194
06/1998,36781.39527653441
07/1998,36475.82309109218
08/1998,31075.010653770016
09/1998,31523.098743026138
10/1998,32828.01582744618
11/1998,35825.13205856945
12/1998,37647.83637751166
01/1999,40503.79747793662
02/1999,40548.64519376216
03/1999,43254.45603859343
04/1999,45544.28192582365
05/1999,45068.479716740316
06/1999,48159.2150726635
07/1999,45058.68401518935
08/1999,45348.87883647522
09/1999,43725.21431450646
10/1999,47435.09575610408
11/1999,50105.83632133739
12/1999,53326.22866810132
01/2000,51966.05873946909
02/2000,51386.4792620835
03/2000,57364.30157278598
04/2000,58504.586453145566
05/2000,55961.415853050115
06/2000,55822.91665074519
07/2000,56810.97274556172
08/2000,62622.98638003693
09/2000,60271.12342589394
10/2000,62497.69018405656
11/2000,55800.329892595204
12/2000,52331.1923380711
01/2001,54257.826812403066
02/2001,49550.44723592158
03/2001,48597.43887988294
04/2001,52114.34164476126
05/2001,54913.45060687364
06/2001,53576.93451420489
07/2001,51383.197841663336
08/2001,46046.94120833865
09/2001,42453.6971741988
10/2001,43689.083876813995
11/2001,47801.58370330424
12/2001,48685.43039070807
01/2002,48952.563787732965
02/2002,47930.80202261471
03/2002,49317.29080225841
04/2002,44866.704724781695
05/2002,42738.01602758493
06/2002,37353.963199114856
07/2002,35118.00017480017
08/2002,35168.81888420959
09/2002,31260.851145893754
10/2002,33998.5276720812
11/2002,35771.1860814394
12/2002,31871.7564331781
01/2003,30092.762584412492
02/2003,29734.721179181033
03/2003,29712.01877670033
04/2003,31477.568592699285
05/2003,31199.21952164579
06/2003,32689.452164639675
07/2003,33586.1836159889
08/2003,35466.4482883288
09/2003,32906.48448411636
10/2003,34857.75252587352
11/2003,34073.79337908959
12/2003,34054.96312638137
01/2004,35368.9371868021
02/2004,35762.360965954496
03/2004,35781.8429197264
04/2004,36036.72876253276
05/2004,35779.54821204492
06/2004,36604.31563658813
07/2004,35733.84719008805
08/2004,35665.09118452032
09/2004,35185.59785756319
10/2004,34803.20460244126
11/2004,34691.58037743318
12/2004,35013.53909496121
01/2005,35695.78063745927
02/2005,35836.63425760494
03/2005,35997.64030669475
04/2005,35334.00799078862
05/2005,38309.13378905602
06/2005,39121.76925726601
07/2005,40573.29403006217
08/2005,39857.03367604118
09/2005,40700.36459084229
10/2005,40085.10096429412
11/2005,42499.05403968774
12/2005,42412.94280776664
01/2006,42382.686507133825
02/2006,43367.33849599113
03/2006,43076.4616225624
04/2006,42147.13024399904
05/2006,39881.14407726758
06/2006,40422.10683249335
07/2006,40499.425838835356
08/2006,41192.00690684879
09/2006,42891.01199974343
10/2006,44163.07428539298
11/2006,43284.58200000344
12/2006,43991.74419908985
01/2007,45401.684516480724
02/2007,43647.72922721974
03/2007,43781.32759303148
04/2007,44756.14983862263
05/2007,46841.24543424632
06/2007,45885.70043928855
07/2007,43807.7697799022
08/2007,44470.94492113012
09/2007,44591.84451960796
10/2007,44460.79289900342
11/2007,41695.802658955436
12/2007,41519.0348558423
01/2008,38637.59140019671
02/2008,36650.3962662339
03/2008,35003.557924308334
04/2008,37350.863469322074
05/2008,37912.726089604024
06/2008,34152.75707528149
07/2008,34197.57130100922
08/2008,36754.69903194867
09/2008,34490.77914007785
10/2008,32176.016678467044
11/2008,29937.63252394275
12/2008,27669.058512370844
01/2009,27513.586913296447
02/2009,24918.440302419593
03/2009,25749.01280723464
04/2009,28283.563679200095
05/2009,28122.048075638548
06/2009,28106.109272677022
07/2009,30223.317850870575
08/2009,31020.47264920666
09/2009,31362.81113699437
10/2009,30453.688672134493
11/2009,31801.20243830518
12/2009,33803.79860101283
01/2010,33614.46247457967
02/2010,35667.01017282256
03/2010,38074.736889437816
04/2010,39152.166307088155
05/2010,38976.52744228422
06/2010,37044.520371560226
07/2010,37336.580972215525
08/2010,36629.6468728334
09/2010,37068.6788467851
10/2010,37898.86058130066
11/2010,40408.58336054325
12/2010,41934.80776964689
01/2011,41894.03614267691
02/2011,42884.52421057183
03/2011,41775.20780700845
04/2011,41122.249113876685
05/2011,41999.27378152754
06/2011,41104.87273701377
07/2011,40814.09767802413
08/2011,38089.40722571029
09/2011,37895.38655103759
10/2011,40541.83992800663
11/2011,42209.923074060185
12/2011,44220.273896058265
01/2012,45370.90021675304
02/2012,46392.71039037369
03/2012,48231.54331393435
04/2012,48443.99200394809
05/2012,48509.69107375338
06/2012,49758.20776691747
07/2012,51705.99974411996
08/2012,51499.67303123254
09/2012,51527.16210283268
10/2012,50330.4775582332
11/2012,50649.65013096342
12/2012,50305.528974354515
01/2013,51521.01658473039
02/2013,53894.961810709035
03/2013,57331.01011694862
04/2013,57242.02853436367
05/2013,58878.19740277958
06/2013,57758.94421380059
07/2013,59806.48209966141
08/2013,58249.925209722256
09/2013,58875.457017134955
10/2013,60967.83233183217
11/2013,62964.23729032451
12/2013,63715.72525354884
01/2014,62764.24015938076
02/2014,64224.18080002153
03/2014,64881.3223158635
04/2014,65068.30076013523
05/2014,67785.15869094236
06/2014,68927.0076252774
07/2014,69393.94970425921
08/2014,73215.38183992346
09/2014,75659.57982293481
10/2014,77872.68476363232
11/2014,80229.6490946457
12/2014,82281.83035112746
01/2015,85713.74060605608
02/2015,91164.1916919498
03/2015,93733.56563875942
04/2015,90785.14292758708
05/2015,94006.14894401701
06/2015,90381.92538660564
07/2015,94143.5082104709
08/2015,86507.22112462565
09/2015,84457.09292036091
10/2015,93127.60021443068
